,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
215,725.0,flat,62.0,True,2,1,Madrid,7748,3,False
216,750.0,flat,46.0,False,1,1,Madrid,5680,bj,False
217,750.0,flat,61.0,True,2,1,Madrid,3161,1,True
218,720.0,flat,110.0,False,2,1,Parla,21417,Sin información,True
219,720.0,flat,48.0,False,2,1,Madrid,3551,bj,False
220,700.0,flat,57.0,False,2,1,Madrid,8410,4,False
221,750.0,duplex,75.0,True,2,2,Cobeña,24176,1,False
222,610.0,studio,26.0,False,0,1,Madrid,5343,3,True
223,740.0,flat,52.0,False,2,1,Móstoles,17525,4,False
224,715.0,flat,62.0,True,2,1,Colmenar Viejo,26558,bj,True
225,550.0,flat,57.0,False,2,1,Aranjuez,43521,bj,False
226,710.0,flat,36.0,True,1,1,Madrid,1315,bj,False
227,730.0,flat,51.0,True,2,1,Madrid,8093,2,False
228,750.0,studio,23.0,True,0,1,Madrid,1367,8,True
229,690.0,flat,33.0,False,1,1,Madrid,5232,3,True
230,740.0,flat,73.0,True,3,1,Parla,21838,4,True
231,750.0,duplex,66.0,True,1,1,Madrid,5627,bj,True
232,720.0,flat,44.0,False,3,1,Madrid,8176,2,False
233,740.0,flat,41.0,True,2,1,Madrid,4787,2,False
234,740.0,flat,57.0,True,1,1,Madrid,3642,1,True
235,740.0,flat,62.0,True,2,1,Colmenar Viejo,26890,1,True
236,700.0,flat,74.0,False,2,1,Getafe,9950,4,False
237,730.0,flat,35.0,False,1,1,Madrid,760,2,True
238,700.0,studio,28.0,True,0,1,Madrid,9700,3,True
239,750.0,flat,109.0,True,2,2,Valdemoro,24455,3,True
240,749.0,flat,38.0,True,1,1,Madrid,6506,2,True
241,700.0,studio,30.0,False,0,1,Madrid,2411,bj,True
242,667.0,flat,70.0,True,1,1,Parla,21185,8,True
243,725.0,flat,45.0,False,1,1,Madrid,10398,1,True
244,550.0,penthouse,70.0,True,3,1,Robledo de Chavela,47595,3,False
245,695.0,flat,55.0,True,3,1,Parla,19765,4,False
246,750.0,flat,105.0,True,3,1,Campo Real,28810,1,False
247,750.0,studio,32.0,True,0,1,Madrid,5006,14,True
248,730.0,flat,80.0,True,3,1,Collado Villalba,35774,4,False
249,710.0,flat,30.0,True,1,1,Madrid,1156,bj,False
250,650.0,flat,58.0,True,1,1,Madrid,5924,4,True
251,600.0,countryHouse,60.0,False,2,2,Villaviciosa de Odón,23776,Sin información,Sin información
252,740.0,flat,41.0,True,2,1,Madrid,8358,3,False
253,525.0,flat,40.0,True,1,1,Aranjuez,43059,3,True
254,750.0,studio,35.0,True,0,1,Madrid,1272,4,False
255,750.0,flat,74.0,True,3,1,Alcalá de Henares,29245,2,True
256,710.0,flat,69.0,True,3,1,Alcalá de Henares,28440,5,True
257,560.0,studio,46.0,True,0,1,Madrid,3786,bj,False
258,600.0,flat,42.0,True,1,1,Torrejón de Ardoz,18905,bj,False
259,720.0,flat,44.0,True,1,1,Madrid,3589,ss,False
260,750.0,flat,60.0,True,2,1,Madrid,2591,Sin información,False
261,750.0,flat,42.0,False,1,1,Madrid,2762,4,True
262,750.0,studio,90.0,True,0,1,Madrid,7228,4,True
263,650.0,studio,45.0,False,0,1,Madrid,3807,bj,True
264,650.0,flat,59.0,True,1,1,Parla,20637,2,True
265,670.0,flat,75.0,True,2,1,Arganda,27056,3,True
266,650.0,flat,45.0,True,1,1,Getafe,12383,2,True
267,750.0,flat,32.0,True,1,1,Madrid,5339,2,True
268,725.0,flat,50.0,True,1,1,Madrid,5564,Sin información,Sin información
269,620.0,studio,20.0,False,0,1,Madrid,1893,1,True
270,680.0,flat,35.0,True,1,1,Madrid,3308,bj,False
271,750.0,flat,87.0,True,3,1,Coslada,12519,bj,True
272,670.0,flat,53.0,True,1,1,Getafe,12383,1,True
273,600.0,flat,75.0,True,3,1,Alcalá de Henares,28756,Sin información,Sin información
274,750.0,flat,70.0,True,2,1,Alcorcón,12614,4,False
275,700.0,flat,36.0,True,2,1,Pozuelo de Alarcón,9525,3,False
276,695.0,flat,58.0,False,1,1,Madrid,5659,1,True
277,710.0,flat,66.0,True,1,1,Arganda,25013,2,True
278,620.0,flat,80.0,True,2,1,Bustarviejo,49280,2,False
279,700.0,flat,80.0,True,3,1,Collado Mediano,40907,1,False
280,715.0,flat,89.0,True,3,1,Chinchón,39316,bj,False
281,750.0,flat,50.0,True,1,1,Madrid,11203,1,True
282,750.0,flat,45.0,True,1,1,Madrid,8426,2,True
283,550.0,studio,25.0,False,0,1,Madrid,4650,bj,False
284,730.0,flat,60.0,True,1,1,Colmenar Viejo,27803,Sin información,False
285,750.0,penthouse,46.0,True,2,1,Madrid,3889,4,True
286,700.0,flat,45.0,True,1,1,Coslada,13887,bj,False
287,680.0,flat,85.0,True,2,1,Coslada,13303,bj,True
288,600.0,flat,28.0,False,1,1,Madrid,4418,4,False
289,750.0,flat,80.0,True,2,1,Colmenarejo,30995,1,False
290,700.0,flat,62.0,True,1,1,Alcorcón,13040,2,True
291,690.0,flat,77.0,True,2,1,Madrid,7283,bj,True
292,700.0,flat,50.0,True,1,1,Madrid,7844,bj,False
293,750.0,flat,87.0,True,2,1,Coslada,13773,5,True
294,735.0,flat,51.0,True,1,1,Getafe,14023,4,True
295,700.0,flat,80.0,True,3,1,Móstoles,17777,5,True
296,725.0,flat,75.0,True,3,1,Fuenlabrada,16247,Sin información,False
297,733.0,flat,68.4,True,2,1,Alcalá de Henares,28541,2,True
298,750.0,flat,36.0,True,1,1,Madrid,4237,bj,True
299,675.0,flat,69.0,True,2,1,Madrid,5656,bj,False
300,650.0,flat,85.0,True,2,1,Guadarrama,43066,2,False
301,730.0,flat,52.0,True,1,1,Madrid,5879,bj,True
302,700.0,flat,97.0,True,1,1,Loeches,24605,bj,True
303,690.0,studio,38.0,False,0,1,Madrid,5798,2,True
304,700.0,flat,70.0,True,2,1,Guadarrama,43166,1,False
305,600.0,duplex,89.0,True,2,2,Miraflores de la Sierra,44474,2,False
306,700.0,studio,25.0,False,0,1,Madrid,691,bj,False
307,690.0,flat,60.0,True,2,1,Sevilla la Nueva,29005,bj,False
308,750.0,duplex,114.0,True,3,3,Serranillos del Valle,28099,1,False
309,700.0,studio,51.0,True,0,1,Madrid,8471,bj,False
310,670.0,flat,61.0,True,1,1,Collado Villalba,35136,bj,True
311,750.0,flat,80.0,True,2,1,Valdemoro,25085,4,True
312,740.0,studio,33.0,True,0,1,Madrid,8322,bj,True
313,750.0,flat,110.0,True,4,2,Colmenar Viejo,27976,1,False
314,750.0,flat,62.0,True,2,1,Madrid,5703,3,False
315,750.0,studio,70.0,True,0,1,San Sebastián de los Reyes,16273,bj,True
316,650.0,studio,28.0,True,0,1,Madrid,5399,bj,False
317,625.0,flat,51.0,True,1,1,Arganda,25010,2,True
318,700.0,flat,35.0,True,1,1,Madrid,2266,bj,True
319,750.0,flat,95.0,True,2,2,Colmenarejo,30759,1,False
320,600.0,studio,25.0,False,0,1,Madrid,3812,bj,False
321,750.0,flat,89.0,True,2,2,Getafe,12878,2,True
322,700.0,flat,55.0,True,1,1,Valdemorillo,32004,1,True
323,750.0,flat,90.0,True,3,2,Campo Real,28736,2,True
324,750.0,flat,48.0,True,2,1,Madrid,6832,2,True
325,625.0,flat,57.0,True,2,1,Aranjuez,43647,bj,False
326,750.0,flat,46.0,True,1,1,San Sebastián de los Reyes,16127,1,False
327,695.0,flat,59.0,True,1,1,Madrid,8595,4,True
328,720.0,flat,58.0,True,2,1,Alcorcón,13451,bj,False
329,745.0,flat,73.0,True,2,1,Alcalá de Henares,28800,2,True
330,720.0,flat,69.6,True,2,1,Alcalá de Henares,28624,2,True
331,750.0,flat,55.0,True,2,1,Madrid,7462,1,False
332,720.0,studio,48.0,True,0,1,Madrid,5808,1,True
333,725.0,studio,44.0,False,0,1,Madrid,1140,8,True
334,750.0,flat,80.0,False,2,1,Madrid,8011,5,True
335,550.0,flat,86.0,True,2,1,Torrelaguna,47448,1,True
336,640.0,flat,69.0,True,2,1,Villalbilla,29311,2,True
337,700.0,flat,54.0,True,1,1,Getafe,11656,1,True
338,700.0,flat,59.0,True,1,1,Madrid,7529,6,True
339,700.0,flat,75.0,True,2,1,Alcalá de Henares,30359,1,False
340,695.0,flat,62.0,False,2,1,Alcobendas,15162,3,False
