,price,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,size_standard,distance_standard,municipality_standard,floor_standard,hasLift_standard
23,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3304121606137999,-0.27957627635267013,0.32551814451090866,0.7671780889277882,0.604025855683706
24,750.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17866982544723678,0.4815295682834691,1.086286869621768,0.5868697173249323,-0.25623866340318285
25,750.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.801093453679017,-1.1976703010448622,0.32551814451090866,1.252531525615225,0.604025855683706
26,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.9526234769106225,-1.0800301620013146,0.32551814451090866,0.7671780889277882,-0.25623866340318285
27,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2917991556830227,-0.607207295460902,0.32551814451090866,0.7671780889277882,-0.25623866340318285
28,750.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.5182701280895523,-1.1651899879298169,0.32551814451090866,0.06833862980017628,-0.25623866340318285
29,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0091881420285156,-1.0762327124580133,0.32551814451090866,1.1736189129542818,-0.25623866340318285
30,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2917991556830227,-0.5546085794462389,0.32551814451090866,0.06833862980017628,-0.25623866340318285
31,747.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.2149977696913834,0.9093486178958212,-0.0641010573887986,0.7671780889277882,0.604025855683706
32,640.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2354468025000873,-0.6489792404372167,0.32551814451090866,0.7671780889277882,0.604025855683706
33,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.5182701280895523,-1.0683954229750297,0.32551814451090866,1.801441218422622,0.604025855683706
34,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7443164766261664,1.0783755209721273,0.24586183934677466,0.5868697173249323,0.604025855683706
35,625.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.273847495495907,2.027091532407111,-1.7324334785044542,0.5868697173249323,-0.25623866340318285
36,700.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9526234769106225,-1.1251147757281688,0.32551814451090866,0.06833862980017628,0.604025855683706
37,750.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.9526234769106225,-1.0454491321176345,0.32551814451090866,-1.2025652485928284,0.604025855683706
38,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.2354468025000873,-1.1501617833541988,0.32551814451090866,0.5868697173249323,0.604025855683706
39,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7443164766261664,1.1103710532944109,0.24586183934677466,0.5868697173249323,-0.25623866340318285
40,699.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.273847495495907,-0.6677240977573424,0.32551814451090866,0.06833862980017628,0.604025855683706
41,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,-0.1838320697822004,-2.1822300307023257,-1.2512439464726683,0.604025855683706
42,695.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,-0.11733630437503027,0.6785224214177364,-1.2512439464726683,0.604025855683706
43,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1968337975693102,0.35249708061001744,-0.2584256023635321,-1.2512439464726683,0.604025855683706
44,620.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17866982544723678,-0.5958957436297917,0.32551814451090866,-1.2512439464726683,-0.25623866340318285
45,550.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0657528071464084,-0.3569796095969824,-2.1822300307023257,-1.2512439464726683,-0.25623866340318285
46,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6132354862032647,-1.1214789197824546,0.32551814451090866,0.06833862980017628,0.604025855683706
47,680.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,-0.8289137113506648,0.32551814451090866,-1.2663960811836383,-0.25623866340318285
48,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.3869768257316929,1.3489640001320453,-0.04120126962872089,-1.2512439464726683,-4.185620372065892
49,750.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2354468025000873,-0.9137503500839925,0.32551814451090866,-1.2512439464726683,-4.185620372065892
50,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5180578161545946,-0.16524880605966197,0.9114486618826325,0.7671780889277882,0.604025855683706
51,650.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,1.1379227616830438,0.24586183934677466,-1.2025652485928284,0.604025855683706
