,price,propertyType_standard,size_standard,exterior_standard,rooms_standard,bathrooms_standard,municipality_standard,distance_standard,floor_standard,hasLift_standard
0,750.0,0.284395188766569,0.18025418247338923,0.47482054026183995,-1.202326720390465,0.3010230667762781,0.31273611380731964,-0.680227654443429,0.34549061818527804,0.9406628429348092
1,750.0,0.284395188766569,0.7416743256668471,0.47482054026183995,0.6683544834081158,0.3010230667762781,1.448512956258237,0.018574024389791798,-0.9448730897847953,-0.7821816030925316
3,590.0,0.284395188766569,0.7416743256668471,0.47482054026183995,1.5475189678060501,-3.322004558352418,-2.123978790491082,3.1221342692824816,-1.486590073159281,-0.7821816030925316
4,684.0,-0.3294488467099229,-0.6618760323167975,0.47482054026183995,-0.19260060749823532,0.3010230667762781,0.31273611380731964,-0.4025637023466541,-1.486590073159281,-2.5050260491198726
5,600.0,0.284395188766569,0.9101003686248844,0.47482054026183995,0.6683544834081158,0.3010230667762781,-1.9341317754962657,1.6234087538753519,0.34549061818527804,-0.7821816030925316
6,600.0,-0.35571374028433794,0.7978163399861928,0.47482054026183995,-1.202326720390465,0.3010230667762781,-2.4414693323402097,2.165386691872483,0.5954822091552653,-0.7821816030925316
7,550.0,0.284395188766569,-0.21273991776203124,0.47482054026183995,-1.202326720390465,0.3010230667762781,0.31273611380731964,-0.9126244797822329,0.5954822091552653,-0.7821816030925316
8,700.0,-0.3294488467099229,-1.6162902757456759,0.47482054026183995,-0.19260060749823532,0.3010230667762781,0.31273611380731964,-0.7928584037327536,0.5954822091552653,-0.7821816030925316
9,700.0,-0.35571374028433794,1.6399465547763796,0.47482054026183995,0.6683544834081158,0.3010230667762781,-0.035661625548099,1.1700469708027232,0.34549061818527804,0.9406628429348092
10,700.0,0.284395188766569,-0.6618760323167975,-2.10605884793558,-1.202326720390465,0.3010230667762781,0.31273611380731964,-1.0631568572384011,1.429736774392105,-0.7821816030925316
11,550.0,0.284395188766569,-0.15659790344268545,0.47482054026183995,0.6683544834081158,0.3010230667762781,-2.1292403899402603,0.7925651680074391,-0.8847483880556378,-0.7821816030925316
12,695.0,0.284395188766569,0.40482223975077236,0.47482054026183995,0.6683544834081158,0.3010230667762781,1.448512956258237,-0.011962105185924268,0.5954822091552653,-0.7821816030925316
