,price,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality,size_standard,distance_standard
128,735.0,1,0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.5040062471069844,-0.3617465643208226
129,610.0,0,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564,0.8539583543055387,0.27935870888189956
130,580.0,0,3,2,-3.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,636.4573863636364,-0.15659790344268545,1.7761661256975898
131,725.0,1,1,1,0.5,0,0.0,0.0,0.0,1.0,0.0,0.0,689.1730533221507,-0.3811659607200686,0.6048984018210033
132,750.0,1,1,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.49344998935876017,-0.8299927924630214
133,750.0,1,3,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.7416743256668471,1.055498122921959
134,750.0,1,1,1,7.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.4373079750394144,-0.5706658629004077
135,730.0,1,3,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.18025418247338923,0.38707912577713915
136,560.0,0,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.7285743043843673,-1.1721815811758196
137,700.0,1,0,1,-3.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.8970003473424049,-1.122617913573024
138,750.0,1,3,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435,1.303094468860305,-0.06996540659105327
139,730.0,1,3,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564,0.7416743256668471,0.22081833987116753
140,730.0,1,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.26888193208137706,-0.5428917952963643
141,740.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.40482223975077236,-0.5783382572661654
142,720.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.46096425407011815,-0.643860505149737
143,720.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,0.34868022543142657,0.2937060863458667
144,740.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.15659790344268545,-0.7109939558501178
145,720.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,-0.26888193208137706,-0.24612358122885247
146,730.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-0.883699553023326
147,600.0,0,1,1,-3.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746,1.303094468860305,-0.6659570009231196
148,600.0,0,1,1,-3.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746,1.303094468860305,-0.6722483643030409
149,725.0,1,2,1,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,721.1753471553473,0.7978163399861928,0.5566390412603867
150,675.0,1,3,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,670.6797922079181,1.0785264115829218,2.116206643987976
151,750.0,1,1,1,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312,-0.15659790344268545,-0.005287122087714977
152,750.0,1,2,2,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,707.4023832481668,1.2469524545409592,1.4419566271251798
153,700.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.15659790344268545,-0.962801938934289
154,750.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.15659790344268545,-0.5816373868434412
155,730.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.49344998935876017,-0.6832966121897321
156,650.0,1,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.23639619679273502,0.9745543623632142
157,730.0,1,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.34868022543142657,-0.6145519586725423
158,720.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3811659607200686,-0.6799207586687988
159,720.0,1,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3250239464007228,-0.685137986837514
160,750.0,1,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.5495920036781059,-0.8719607896437166
161,730.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3811659607200686,-0.6515328995154949
162,730.0,1,2,1,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.9425861039135265,-0.8978167586563204
163,670.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843,0.5732482827088097,0.7056369398434033
164,740.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.26888193208137706,-0.8471022318986613
165,720.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.6855323113475013,1.0113051313751942
166,750.0,1,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.12411216815404345,-0.5756529192381502
167,740.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-0.6278252009253033
168,740.0,1,2,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.18025418247338923,-0.7083853417657602
169,730.0,0,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-0.6618760323167975,-1.1546117980782342
