,price,size,distance,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality
53,750.0,66.0,13311,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132
54,650.0,65.0,29440,1,1,1,0.5,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
55,720.0,133.0,19453,0,3,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564
56,600.0,50.0,24430,1,1,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
57,650.0,61.0,34886,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,707.4023832481668
58,650.0,65.0,11537,0,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132
59,700.0,45.0,12321,1,1,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
60,625.0,62.0,11666,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
61,595.0,45.0,4543,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
62,650.0,55.0,10495,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
63,725.0,50.0,7708,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
64,750.0,95.0,28483,1,3,1,8,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
65,700.0,30.0,12049,1,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,705.6331360946746
66,700.0,27.0,1391,0,1,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
67,650.0,59.0,30562,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
68,550.0,40.0,17750,1,1,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,621.4573863636364
69,650.0,55.0,10296,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
70,750.0,65.0,5580,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
71,725.0,70.0,4117,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
72,700.0,80.0,29460,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
73,650.0,40.0,12224,1,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
74,695.0,90.0,7729,1,3,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
75,750.0,55.0,6017,1,1,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
76,650.0,65.0,7559,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
77,666.0,70.0,24862,1,1,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,689.1730533221507
78,750.0,78.0,29976,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
79,630.0,74.0,36483,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.4573863636364
80,635.0,55.0,14528,1,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,650.7115809171166
81,725.0,69.0,35892,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,707.4023832481668
82,750.0,35.0,859,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
83,690.0,65.0,4724,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
84,700.0,30.0,1041,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
85,730.0,64.0,20235,1,3,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
86,750.0,51.0,3436,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
87,750.0,48.0,20526,0,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
88,690.0,35.0,4802,1,1,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
89,750.0,74.0,13017,1,3,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132
90,700.0,35.0,852,1,1,1,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746
91,720.0,42.0,8333,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
92,595.0,55.0,29699,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,643.9573863636364
93,700.0,45.0,1113,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
94,500.0,45.0,32188,1,1,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,624.9886310435428
95,700.0,75.0,43915,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573
96,675.0,87.0,44503,1,2,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,633.095639357559
97,650.0,45.0,37741,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,671.4573863636364
98,750.0,55.0,918,1,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
99,720.0,45.0,15433,1,0,1,5,1,0.0,0.0,0.0,0.0,0.0,1.0,735.546085805312
100,624.0,45.0,24077,1,1,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
101,633.0,45.0,24077,1,1,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
102,640.0,33.0,11189,1,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
103,645.0,84.0,43827,1,2,2,2,1,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573
104,750.0,46.0,1069,0,1,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
105,735.0,35.0,11088,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
106,600.0,55.0,25189,1,1,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,646.4573863636364
107,750.0,75.0,8286,1,3,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
108,600.0,25.0,183,1,1,1,5,1,0.0,0.0,0.0,0.0,1.0,0.0,705.6331360946746
109,705.0,48.0,11472,1,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
110,650.0,62.0,43229,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,669.7955176066374
111,700.0,61.0,23917,1,2,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,721.1753471553473
112,650.0,40.0,5088,0,0,1,0.5,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
113,700.0,40.0,3076,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
114,730.0,51.0,6767,1,2,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
115,750.0,50.0,8331,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
116,680.0,56.0,19298,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647
117,710.0,78.0,21617,1,3,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
118,720.0,47.0,7088,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
119,750.0,43.0,5332,1,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
120,695.0,40.0,12376,1,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
121,630.0,54.0,32432,1,1,2,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,661.4573863636364
122,750.0,90.0,26401,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,721.4573863636364
123,730.0,50.0,8717,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
124,600.0,90.0,25182,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
125,650.0,45.0,5656,1,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
126,750.0,38.0,470,0,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
127,730.0,50.0,16410,1,1,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,717.4675412402383
128,735.0,30.0,11188,1,0,1,2,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
129,610.0,72.0,19544,0,1,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564
130,580.0,54.0,39053,0,3,2,-3.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,636.4573863636364
131,725.0,50.0,23787,1,1,1,0.5,0,0.0,0.0,0.0,1.0,0.0,0.0,689.1730533221507
132,750.0,48.0,5085,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
133,750.0,70.0,29660,1,3,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
134,750.0,49.0,8465,1,1,1,7,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
135,730.0,60.0,20948,1,3,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
136,560.0,26.0,625,0,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
137,700.0,23.0,1271,1,0,1,-3.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
138,750.0,80.0,14991,1,3,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
139,730.0,70.0,18781,1,3,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,671.0867531052564
140,730.0,52.0,8827,1,2,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
141,740.0,64.0,8365,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
142,720.0,65.0,7511,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
143,720.0,63.0,19731,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647
144,740.0,54.0,6636,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
145,720.0,52.0,12695,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
146,730.0,45.0,4385,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
147,600.0,80.0,7223,0,1,1,-3.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746
148,600.0,80.0,7141,0,1,1,-3.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746
149,725.0,71.0,23158,1,2,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,721.1753471553473
150,675.0,76.0,43485,1,3,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,670.6797922079181
151,750.0,54.0,15834,1,1,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312
152,750.0,79.0,34697,1,2,2,1,0,0.0,0.0,1.0,0.0,0.0,0.0,707.4023832481668
153,700.0,54.0,3354,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
154,750.0,54.0,8322,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
155,730.0,48.0,6997,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
156,650.0,61.0,28605,1,2,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
157,730.0,63.0,7893,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
158,720.0,50.0,7041,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
159,720.0,51.0,6973,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
160,750.0,47.0,4538,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
161,730.0,50.0,7411,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
162,730.0,40.0,4201,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
163,670.0,67.0,25100,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,661.0789132060843
164,740.0,52.0,4862,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
165,720.0,69.0,29084,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
166,750.0,59.0,8400,1,2,1,4,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
167,740.0,45.0,7720,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
168,740.0,60.0,6670,1,2,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
169,730.0,45.0,854,0,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
170,620.0,75.0,21044,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
171,695.0,67.0,16111,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.4050746928433
172,650.0,95.0,29884,1,3,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,696.9979010385982
173,675.0,68.0,30461,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
174,695.0,65.0,8484,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
175,750.0,111.0,20583,1,2,2,6,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
176,675.0,35.0,1016,0,1,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
177,730.0,60.0,20756,0,3,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
178,690.0,85.0,20804,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305
179,750.0,45.0,5089,0,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
180,600.0,32.0,6325,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
181,723.0,25.0,16775,1,0,1,-3.0,1,0.0,0.0,0.0,0.0,0.0,1.0,717.4675412402383
182,725.0,50.0,10503,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
183,750.0,67.0,11657,1,3,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505
184,600.0,45.0,41003,1,2,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,646.4573863636364
185,750.0,70.0,14642,1,3,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,734.6474178380435
186,450.0,60.0,53238,1,1,1,-3.0,0,0.0,0.0,0.0,0.0,1.0,0.0,551.8827731805424
